Job_name,Company,Region,Salary,Job_Category,Welfare,Edu_require,Experience,Url
凤凰路…|幼儿老师,三亚市天涯区谱霖斯顿幼儿园,三亚,面议,幼教/早教,"包吃,包住,周末双休",大专,不限,https://sanya.58.com/zhuanye/40753089710616x.shtml?psid=168306962206963661470432745&entinfo=40753089710616_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_168306962206963661470432745&tjfrom=pc_list_left_pt__168306962206963661470432745__115921448353857536__pt
吉阳|诚聘幼儿教师/蒙氏教师,三亚阳光贝贝幼儿园,三亚,面议,幼教/早教,"五险一金,包住,包吃,周末双休",不限,不限,https://sanya.58.com/zhuanye/26904014462015x.shtml?psid=168306962206963661470432745&entinfo=26904014462015_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_168306962206963661470432745&tjfrom=pc_list_left_pt__168306962206963661470432745__115921448353857536__pt
胜利路|英语老师,三亚红杉树智能英语教育咨询有限公司,三亚,面议,教师/助教,"包住,包吃",大专,不限,https://sanya.58.com/zhuanye/39890118085267x.shtml?psid=168306962206963661470432745&entinfo=39890118085267_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_168306962206963661470432745&tjfrom=pc_list_left_pt__168306962206963661470432745__115921448353857536__pt
凤凰路…|直聘幼儿教师,三亚市天涯区谱霖斯顿幼儿园,三亚,面议,教师/助教,"包吃,周末双休,包住",大专,1-2年,https://sanya.58.com/zhuanye/36176893691814x.shtml?psid=168306962206963661470432745&entinfo=36176893691814_p&ytdzwdetaildj=0&finalCp=finalCp=000001270000000000020000000000000000_168306962206963661470432745&tjfrom=pc_list_left_pt__168306962206963661470432745__115921448353857536__pt
吉阳|出纳,三亚宫满西廷餐厅,三亚,5000-8000元/月,财务/审计/统计,"包住,包吃,加班补助",不限,不限,https://sanya.58.com/zpcaiwushenji/40320064940802x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40320064940802&psid=168306962206963661470432745&entinfo=40320064940802_b&ytdzwdetaildj=0
亚龙湾|高薪招聘前台接待,三亚御黑堂茶饮店,三亚,2800-5000元/月,人事/行政/后勤,"求职保障,包住,包吃,年底双薪",不限,不限,https://sanya.58.com/renli/40612690726055x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40612690726055&psid=168306962206963661470432745&entinfo=40612690726055_b&ytdzwdetaildj=0
新风街…|美甲、美睫师五险一金包住,广州市茉善化妆品有限公司,三亚,5000-8000元/月,美容/美发,"五险一金,包住,话补,交通补助,饭补",不限,不限,https://sanya.58.com/meirongjianshen/40177836188292x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40177836188292&psid=168306962206963661470432745&entinfo=40177836188292_b&ytdzwdetaildj=0
商品街|招生主任,三亚剑桥国际外语培训中心,三亚,面议,教育培训,"五险一金,包吃,包住,话补",不限,不限,https://sanya.58.com/zhuanye/40718447389469x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40718447389469&psid=168306962206963661470432745&entinfo=40718447389469_b&ytdzwdetaildj=0
金鸡岭|文案策划,三亚星情茶坊,三亚,4000-8000元/月,编辑/出版/印刷,"包吃,包住",不限,6-7年,https://sanya.58.com/zpxiezuochuban/39213869182352x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=39213869182352&psid=168306962206963661470432745&entinfo=39213869182352_b&ytdzwdetaildj=0
大东海|德佑集团招聘房地产经纪人,海南世华房地产顾问有限公司,三亚,面议,房产中介,"交通补助,话补",不限,不限,https://sanya.58.com/zpfangchan/40532685254299x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40532685254299&psid=168306962206963661470432745&entinfo=40532685254299_b&ytdzwdetaildj=0
吉阳|高薪房产经纪人,三亚房华似锦房地产经纪有限公司,三亚,面议,房产中介,五险一金,不限,不限,https://sanya.58.com/zpfangchan/40056789955590x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40056789955590&psid=168306962206963661470432745&entinfo=40056789955590_b&ytdzwdetaildj=0
大东海|平台经纪人高薪提成,海南世华房地产顾问有限公司,三亚,5000-8000元/月,房产中介,None,不限,不限,https://sanya.58.com/zpfangchan/40531862285976x.shtml?tjfrom=pc_list_complement__168306962206963661470432745____&finalCp=0009001300000000000000000000_168306962206963661470432745&infoid=40531862285976&psid=168306962206963661470432745&entinfo=40531862285976_b&ytdzwdetaildj=0
