city,url
普洱,http://pe.58.com/job/
保山,http://bs.58.com/job/
临沧,http://lincang.58.com/job/
迪庆,http://diqing.58.com/job/
怒江,http://nujiang.58.com/job/
弥勒,http://milexian.58.com/job/
安宁,http://anningshi.58.com/job/
宣威,http://xuanwushi.58.com/job/
杭州,http://hz.58.com/job/
宁波,http://nb.58.com/job/
温州,http://wz.58.com/job/
金华,http://jh.58.com/job/
嘉兴,http://jx.58.com/job/
台州,http://tz.58.com/job/
绍兴,http://sx.58.com/job/
湖州,http://huzhou.58.com/job/
丽水,http://lishui.58.com/job/
衢州,http://quzhou.58.com/job/
舟山,http://zhoushan.58.com/job/
乐清,http://yueqingcity.58.com/job/
瑞安,http://ruiancity.58.com/job/
义乌,http://yiwu.58.com/job/
余姚,http://yuyao.58.com/job/
诸暨,http://zhuji.58.com/job/
象山,http://xiangshanxian.58.com/job/
温岭,http://wenling.58.com/job/
桐乡,http://tongxiang.58.com/job/
慈溪,http://cixi.58.com/job/
长兴,http://changxing.58.com/job/
嘉善,http://jiashanx.58.com/job/
海宁,http://haining.58.com/job/
德清,http://deqing.58.com/job/
东阳,http://dongyang.58.com/job/
安吉,http://anji.58.com/job/
苍南,http://cangnanxian.58.com/job/
临海,http://linhai.58.com/job/
永康,http://yongkang.58.com/job/
玉环,http://yuhuan.58.com/job/
平湖,http://pinghushi.58.com/job/
海盐,http://haiyan.58.com/job/
武义县,http://wuyix.58.com/job/
嵊州,http://shengzhou.58.com/job/
新昌,http://xinchang.58.com/job/
江山,http://jiangshanshi.58.com/job/
平阳,http://pingyangxian.58.com/job/
