Job_name,Company,Region,Salary,Url
心理学教师,浙江吉云教育科技集团有限公司,台州,4.5-6千/月,https://jobs.51job.com/taizhoue/120013640.html?s=01&t=0
心理学硕士（实习/应届生）,广州市一苇渡心教育科技有限公司,广州-南沙区,1-1.5万/月,https://jobs.51job.com/guangzhou-nsq/92085232.html?s=01&t=0
心理学/专注力/感统老师（朝十晚五+双休）,成都优一多教育科技有限公司,成都,4-7千/月,https://jobs.51job.com/chengdu/116443285.html?s=01&t=0
心理学助理/教务助理,广州市心月老心理咨询有限公司,广州-番禺区,2.5-6千/月,https://jobs.51job.com/guangzhou-pyq/82981986.html?s=01&t=0
专职讲师（心理学方向）,华图教育-四川分校,成都-武侯区,1-1.5万/月,https://jobs.51job.com/chengdu-whq/117605244.html?s=01&t=0
高级顾问/咨询师（心理学、经纪学优先）,北京丽兹行房地产顾问有限公司-BJ...,北京,1-2万/月,https://jobs.51job.com/beijing/117540759.html?s=01&t=0
房产销售经理（土木工程/心理学专业优先）,北京丽兹行房地产顾问有限公司-BJ...,北京,1.5-2万/月,https://jobs.51job.com/beijing/118702741.html?s=01&t=0
文化服务类（心理学方向）,昆明钢铁控股有限公司,云南省,,https://jobs.51job.com/yunnansheng/119318464.html?s=01&t=0
伊利2020年校园招聘—人力培训生（心理学方向）,内蒙古伊利实业集团股份有限公司,呼和浩特,0.7-1万/月,https://jobs.51job.com/huhhot/118247980.html?s=01&t=0
心理学讲师（接受应届生+晋升快）,广州师德皓大教育科技有限公司,广州-天河区,4-8千/月,https://jobs.51job.com/guangzhou-thq/117421231.html?s=01&t=0
EAP项目经理（心理学）,好人生（上海）健康科技有限公司,北京-朝阳区,0.8-1万/月,https://jobs.51job.com/beijing-cyq/109939675.html?s=01&t=0
专注力老师心理学老师,青岛市市南区中科多特专注力培训学...,青岛-市南区,4.5-6千/月,https://jobs.51job.com/qingdao-snq/100303290.html?s=01&t=0
新媒体文案（心理学方向）,南京马兴春信息科技有限公司,南京-秦淮区,6-8千/月,https://jobs.51job.com/nanjing-qhq/119594826.html?s=01&t=0
AP心理学老师在线,重庆欧桥教育咨询有限公司,重庆-江北区,140元/小时,https://jobs.51job.com/chongqing-jbq/119916332.html?s=01&t=0
心理学老师（情商训练师）,龅牙兔儿童情商乐园东莞园,东莞,4.5-6千/月,https://jobs.51job.com/dongguan/77273403.html?s=01&t=0
心理学教授、副教授,广东培正学院,异地招聘,0.6-1.2万/月,https://jobs.51job.com/guangzhou-hdq/113296663.html?s=01&t=0
心理学线上课程研发（心理或生涯方向）,北京生涯探照灯教育科技有限公司,北京-东城区,0.9-1.8万/月,https://jobs.51job.com/beijing-dcq/119799692.html?s=01&t=0
青少年心理学项目市场专员,沈阳亿伯人才服务有限公司,沈阳-大东区,4.5-6千/月,https://jobs.51job.com/shenyang-ddq/115146687.html?s=01&t=0
应用心理学工程师,诺达思（北京）信息技术有限责任公...,上海-徐汇区,0.8-1万/月,https://jobs.51job.com/shanghai-xhq/111911666.html?s=01&t=0
航空心理学专业课老师,辽宁省涉外旅游管理学校,大连-金州区,3-4千/月,https://jobs.51job.com/dalian-jzq/104585977.html?s=01&t=0
教育心理学***教师,宜昌奕诚职业培训学校有限公司,武汉-洪山区,4.5-6千/月,https://jobs.51job.com/wuhan-hsq/117041874.html?s=01&t=0
AP心理学老师,质能教育信息咨询(广州)有限公司,广州-天河区,160元/小时,https://jobs.51job.com/guangzhou-thq/99603276.html?s=01&t=0
课程顾问/招生顾问/培训招生专员（前景好/心理学）,安徽阳光心健科技发展有限公司,合肥-瑶海区,4-7千/月,https://jobs.51job.com/hefei-yhq/115816860.html?s=01&t=0
Alevel地理/计算机/心理学老师,环球天下教育科技有限公司,广州,0.8-1.5万/月,https://jobs.51job.com/guangzhou/116882048.html?s=01&t=0
心理学管培实习生（可转正）,武汉华心赛科教育咨询有限公司,武汉-武昌区,3-6千/月,https://jobs.51job.com/wuhan-wcq/94782560.html?s=01&t=0
